id,sex,age_cat,race,decile_score,two_year_recid
2817,Male,25 - 45,Caucasian,9,0
2819,Male,Less than 25,African-American,10,1
2820,Male,Greater than 45,Caucasian,1,0
2821,Female,25 - 45,Caucasian,4,0
2824,Male,Greater than 45,Hispanic,8,1
2825,Male,Less than 25,Caucasian,3,1
2828,Female,Less than 25,African-American,7,1
2829,Male,25 - 45,Hispanic,3,0
2830,Male,Greater than 45,African-American,1,0
2834,Male,25 - 45,Native American,2,0
2835,Male,25 - 45,Caucasian,6,1
2836,Male,Greater than 45,Asian,1,1
2837,Female,Greater than 45,African-American,1,0
2841,Male,Less than 25,Caucasian,5,0
2842,Male,Less than 25,African-American,3,1
2843,Male,25 - 45,Caucasian,1,0
2844,Male,Less than 25,Hispanic,10,1
2845,Male,Greater than 45,Caucasian,7,1
2846,Male,25 - 45,Caucasian,1,1
2848,Male,Less than 25,Caucasian,8,1
2851,Male,25 - 45,Other,5,0
2852,Male,25 - 45,African-American,8,0
2854,Male,25 - 45,African-American,9,1
2855,Female,25 - 45,African-American,3,1
2856,Male,25 - 45,African-American,6,0
2857,Male,25 - 45,African-American,9,0
2859,Male,25 - 45,Caucasian,8,1
2860,Male,25 - 45,African-American,1,0
2862,Male,25 - 45,African-American,6,1
2863,Male,Less than 25,Other,2,1
2864,Male,25 - 45,African-American,4,1
2865,Male,Less than 25,African-American,4,1
2867,Male,25 - 45,Caucasian,2,0
2868,Male,Less than 25,Caucasian,7,0
2869,Male,25 - 45,Hispanic,1,0
2870,Male,Less than 25,African-American,7,1
2871,Male,Less than 25,African-American,9,1
2873,Male,25 - 45,Caucasian,9,1
2874,Male,25 - 45,African-American,2,1
2875,Male,25 - 45,African-American,9,1
2876,Female,Less than 25,African-American,8,1
2879,Male,25 - 45,Caucasian,3,0
2880,Male,Greater than 45,Caucasian,3,0
2882,Male,25 - 45,Caucasian,5,1
2883,Male,25 - 45,African-American,8,1
2885,Male,25 - 45,African-American,8,1
2886,Male,25 - 45,African-American,7,1
2887,Male,25 - 45,African-American,1,0
2890,Female,Greater than 45,African-American,7,1
2891,Male,Less than 25,Hispanic,5,1
2892,Male,Greater than 45,African-American,1,0
2893,Male,25 - 45,African-American,8,0
2896,Male,25 - 45,African-American,4,1
2897,Male,25 - 45,Caucasian,7,1
2898,Female,25 - 45,Caucasian,3,0
2899,Male,25 - 45,Caucasian,9,1
2900,Male,Less than 25,African-American,7,0
2901,Male,25 - 45,African-American,9,1
2902,Male,25 - 45,Caucasian,1,0
2903,Male,25 - 45,African-American,1,1
2907,Male,Less than 25,African-American,6,1
2908,Male,Less than 25,African-American,5,0
2910,Male,25 - 45,Caucasian,4,0
2911,Male,25 - 45,African-American,2,1
2913,Male,25 - 45,African-American,10,0
2914,Male,25 - 45,African-American,9,0
2915,Male,25 - 45,Caucasian,4,1
2917,Male,25 - 45,Caucasian,4,0
2918,Female,25 - 45,Hispanic,6,1
2922,Male,Greater than 45,African-American,7,0
2923,Male,25 - 45,Other,1,0
2925,Male,Greater than 45,Hispanic,1,0
2926,Male,Less than 25,African-American,3,1
2927,Male,25 - 45,African-American,5,1
2928,Male,25 - 45,African-American,2,0
2929,Male,Less than 25,Caucasian,3,0
2930,Male,25 - 45,African-American,10,1
2931,Male,25 - 45,African-American,2,0
2932,Male,25 - 45,African-American,2,0
2933,Male,25 - 45,African-American,8,1
2934,Male,25 - 45,African-American,3,1
2935,Male,Greater than 45,Caucasian,1,0
2936,Male,25 - 45,African-American,4,0
2937,Male,Less than 25,Caucasian,5,1
2938,Male,25 - 45,African-American,1,0
2939,Female,Less than 25,African-American,6,0
2943,Male,25 - 45,Caucasian,1,0
2946,Male,25 - 45,Caucasian,3,0
2949,Male,Greater than 45,Caucasian,1,1
2951,Male,25 - 45,African-American,4,0
2952,Male,Less than 25,African-American,3,0
2954,Male,Less than 25,Caucasian,4,0
2955,Male,25 - 45,African-American,2,0
2956,Male,Greater than 45,Caucasian,5,0
2959,Male,25 - 45,African-American,7,0
2961,Male,25 - 45,African-American,5,1
2962,Male,25 - 45,African-American,1,0
2963,Male,25 - 45,Caucasian,4,0
2964,Male,Less than 25,Caucasian,2,1
2965,Male,25 - 45,Hispanic,5,0
2968,Male,25 - 45,African-American,3,1
2969,Male,Greater than 45,Caucasian,1,1
2970,Male,25 - 45,Native American,2,0
2972,Male,Greater than 45,African-American,1,0
2973,Female,Less than 25,Other,4,1
2974,Male,Greater than 45,African-American,5,1
2976,Male,25 - 45,African-American,5,0
2977,Female,Greater than 45,African-American,7,0
2979,Male,25 - 45,African-American,8,0
2982,Male,Greater than 45,African-American,9,1
2983,Female,25 - 45,Caucasian,4,0
2984,Male,Greater than 45,African-American,3,0
2985,Male,Greater than 45,Caucasian,1,1
2988,Male,Greater than 45,Caucasian,1,0
2990,Male,Greater than 45,Caucasian,1,0
2991,Male,Greater than 45,African-American,3,1
2992,Female,25 - 45,African-American,1,0
2993,Male,Less than 25,Hispanic,8,1
2995,Male,Greater than 45,African-American,9,0
2996,Male,Less than 25,Other,4,0
2997,Male,25 - 45,African-American,9,1
2998,Female,Less than 25,Hispanic,4,0
3003,Male,25 - 45,African-American,4,0
3004,Male,25 - 45,African-American,8,1
3005,Male,Less than 25,African-American,6,0
3008,Male,25 - 45,Caucasian,2,1
3009,Male,Greater than 45,Hispanic,4,0
3010,Male,Greater than 45,Caucasian,1,0
3014,Male,Less than 25,African-American,7,1
3015,Male,Greater than 45,Caucasian,1,1
3019,Male,Greater than 45,Caucasian,2,1
3020,Male,Greater than 45,African-American,9,0
3021,Female,25 - 45,African-American,8,1
3022,Male,25 - 45,African-American,5,0
3023,Male,25 - 45,African-American,9,1
3025,Male,25 - 45,African-American,5,0
3027,Male,Greater than 45,African-American,1,1
3029,Male,25 - 45,African-American,10,1
3030,Male,25 - 45,African-American,3,0
3031,Male,25 - 45,Caucasian,10,1
3032,Male,25 - 45,African-American,4,0
3033,Male,25 - 45,Other,6,0
3034,Female,25 - 45,African-American,1,0
3035,Male,25 - 45,Caucasian,4,0
3036,Female,25 - 45,African-American,1,0
3037,Male,Less than 25,Hispanic,5,0
3038,Female,Greater than 45,Caucasian,3,0
3039,Male,25 - 45,Caucasian,1,1
3040,Male,Greater than 45,African-American,1,0
3041,Male,25 - 45,Caucasian,3,1
3042,Female,25 - 45,African-American,1,0
3043,Male,25 - 45,African-American,7,0
3046,Male,25 - 45,African-American,4,0
3051,Male,Greater than 45,African-American,1,0
3053,Male,25 - 45,African-American,2,0
3055,Male,Greater than 45,African-American,2,0
3056,Male,25 - 45,African-American,3,0
3057,Male,25 - 45,African-American,7,1
3058,Male,25 - 45,African-American,5,0
3064,Male,25 - 45,Caucasian,1,0
3066,Female,25 - 45,African-American,4,0
3067,Male,25 - 45,African-American,10,1
3068,Male,25 - 45,African-American,7,0
3069,Male,25 - 45,Caucasian,2,0
3071,Female,25 - 45,African-American,2,1
3074,Male,25 - 45,Caucasian,1,0
3075,Male,Greater than 45,Caucasian,1,0
3078,Female,25 - 45,Caucasian,2,0
3081,Male,25 - 45,African-American,2,0
3084,Female,Greater than 45,African-American,4,0
3085,Male,Less than 25,African-American,5,0
3086,Male,25 - 45,Hispanic,10,1
3087,Male,25 - 45,African-American,7,1
3089,Female,Less than 25,African-American,4,0
3090,Male,25 - 45,African-American,6,0
3093,Female,Less than 25,Caucasian,5,0
3094,Male,25 - 45,African-American,10,1
3096,Male,Greater than 45,African-American,1,0
3101,Male,25 - 45,African-American,2,0
3104,Female,25 - 45,Other,1,0
3107,Male,Greater than 45,Caucasian,1,0
3110,Male,Less than 25,Caucasian,4,1
3111,Male,25 - 45,African-American,9,0
3112,Male,25 - 45,African-American,8,0
3113,Male,25 - 45,Hispanic,3,1
3114,Male,25 - 45,Asian,8,1
3115,Female,25 - 45,African-American,4,0
3116,Male,Less than 25,African-American,10,1
3117,Male,Less than 25,African-American,6,1
3118,Male,25 - 45,African-American,4,0
3120,Male,Less than 25,Hispanic,4,1
3122,Male,Greater than 45,Caucasian,4,0
3129,Male,Greater than 45,African-American,2,0
3130,Male,25 - 45,African-American,6,0
3131,Male,25 - 45,Hispanic,5,1
3132,Male,25 - 45,Hispanic,3,1
3134,Male,Less than 25,African-American,4,1
3135,Male,25 - 45,African-American,8,0
3136,Female,25 - 45,Caucasian,1,0
3137,Male,Greater than 45,Caucasian,8,0
3138,Male,25 - 45,African-American,6,1
3139,Male,25 - 45,Hispanic,7,0
3143,Male,25 - 45,Caucasian,8,1
3144,Male,Greater than 45,African-American,7,1
3145,Male,25 - 45,African-American,5,1
3146,Male,25 - 45,Hispanic,3,1
3152,Female,25 - 45,Caucasian,8,0
3153,Male,25 - 45,Caucasian,3,0
3154,Male,25 - 45,Other,7,0
3155,Male,25 - 45,Other,2,1
3156,Male,Greater than 45,Caucasian,1,0
3157,Male,Less than 25,Caucasian,4,0
3158,Male,25 - 45,African-American,9,0
3159,Male,25 - 45,Caucasian,2,0
3160,Male,Less than 25,African-American,6,1
3161,Male,25 - 45,Hispanic,1,0
3162,Male,25 - 45,Caucasian,7,1
3163,Male,25 - 45,Caucasian,3,0
3164,Male,25 - 45,African-American,6,1
3165,Male,25 - 45,Caucasian,5,1
3166,Male,Less than 25,Caucasian,2,1
3168,Male,25 - 45,African-American,10,1
3169,Male,Greater than 45,Caucasian,1,0
3170,Female,25 - 45,African-American,8,1
3174,Male,Less than 25,Other,5,1
3175,Male,Greater than 45,Caucasian,1,1
3176,Male,25 - 45,African-American,5,0
3177,Male,25 - 45,African-American,2,1
3178,Male,Less than 25,Caucasian,8,1
3181,Male,Less than 25,Caucasian,7,1
3182,Male,25 - 45,African-American,5,0
3183,Male,25 - 45,African-American,4,1
3186,Female,25 - 45,Caucasian,3,0
3188,Male,Greater than 45,Other,1,0
3189,Male,25 - 45,African-American,9,1
3190,Male,Less than 25,African-American,3,0
3191,Male,25 - 45,African-American,4,0
3192,Male,25 - 45,Caucasian,1,0
3197,Female,25 - 45,Other,2,0
3198,Male,Less than 25,Other,6,0
3200,Male,25 - 45,African-American,1,1
3203,Female,Less than 25,Caucasian,8,0
3204,Male,Less than 25,Other,7,0
3205,Male,Greater than 45,Caucasian,1,0
3206,Male,25 - 45,African-American,6,0
3207,Male,Greater than 45,Other,1,0
3208,Female,25 - 45,African-American,2,0
3209,Male,Less than 25,African-American,6,0
3212,Male,25 - 45,African-American,7,1
3214,Female,25 - 45,Hispanic,3,1
3215,Male,Greater than 45,Caucasian,1,0
3217,Male,25 - 45,Caucasian,2,0
3218,Male,25 - 45,Other,4,0
3222,Male,25 - 45,African-American,7,0
3223,Male,Greater than 45,Caucasian,9,1
3225,Male,Less than 25,African-American,9,1
3226,Male,25 - 45,African-American,8,0
3227,Male,25 - 45,Caucasian,6,1
3229,Male,25 - 45,Caucasian,5,0
3230,Female,Greater than 45,African-American,4,0
3232,Female,Greater than 45,African-American,1,0
3234,Male,25 - 45,Caucasian,1,0
3236,Male,25 - 45,African-American,10,1
3237,Male,25 - 45,Caucasian,1,0
3238,Male,25 - 45,African-American,10,1
3240,Female,25 - 45,African-American,7,0
3242,Male,Less than 25,African-American,7,0
3243,Female,Greater than 45,African-American,8,1
3246,Male,25 - 45,Caucasian,3,0
3247,Male,25 - 45,Caucasian,6,0
3248,Male,Greater than 45,Caucasian,1,1
3250,Male,Greater than 45,Caucasian,1,0
3255,Male,Greater than 45,African-American,2,0
3259,Female,Greater than 45,Native American,10,1
3260,Male,Greater than 45,African-American,6,1
3261,Female,Greater than 45,Caucasian,1,0
3262,Female,25 - 45,African-American,6,1
3265,Female,Greater than 45,Caucasian,1,0
3267,Male,25 - 45,African-American,2,0
3268,Male,25 - 45,Caucasian,7,1
3270,Male,Less than 25,African-American,10,1
3272,Male,25 - 45,African-American,10,1
3273,Male,Less than 25,African-American,9,1
3274,Male,Less than 25,African-American,6,0
3278,Male,25 - 45,African-American,10,1
3280,Female,25 - 45,African-American,5,1
3281,Male,25 - 45,Caucasian,4,1
3283,Male,Greater than 45,Caucasian,1,0
3284,Male,25 - 45,Caucasian,9,1
3285,Male,Greater than 45,African-American,5,1
3286,Male,25 - 45,Other,1,1
3287,Male,Less than 25,African-American,8,1
3288,Male,25 - 45,African-American,4,1
3289,Male,25 - 45,African-American,6,0
3290,Male,25 - 45,African-American,4,0
3291,Male,25 - 45,African-American,2,1
3292,Male,25 - 45,Hispanic,4,0
3293,Female,25 - 45,Caucasian,3,0
3294,Female,Less than 25,Other,5,1
3295,Male,25 - 45,Hispanic,1,0
3298,Male,25 - 45,Caucasian,5,0
3299,Male,25 - 45,African-American,2,1
3300,Male,Greater than 45,Caucasian,7,1
3301,Female,25 - 45,African-American,2,0
3302,Female,25 - 45,Caucasian,5,1
3304,Male,25 - 45,African-American,2,0
3305,Female,Greater than 45,Caucasian,2,0
3306,Male,25 - 45,Caucasian,3,0
3309,Male,25 - 45,Caucasian,5,1
3310,Male,25 - 45,Hispanic,3,0
3312,Male,Greater than 45,Caucasian,1,0
3314,Male,25 - 45,Caucasian,4,0
3315,Male,Greater than 45,Caucasian,1,0
3316,Female,25 - 45,Caucasian,8,1
3318,Male,Greater than 45,Caucasian,6,0
3319,Female,25 - 45,Caucasian,2,0
3320,Male,Less than 25,Caucasian,4,0
3322,Male,Less than 25,African-American,4,1
3323,Male,25 - 45,African-American,8,1
3324,Male,Greater than 45,Caucasian,1,0
3325,Male,Greater than 45,Hispanic,1,0
3326,Male,25 - 45,African-American,10,0
3328,Female,Less than 25,African-American,6,1
3329,Male,25 - 45,Caucasian,4,1
3331,Male,25 - 45,African-American,10,1
3332,Male,Greater than 45,African-American,1,0
3333,Male,25 - 45,Caucasian,1,1
3335,Female,25 - 45,Hispanic,3,1
3337,Male,25 - 45,African-American,8,1
3338,Male,Less than 25,African-American,6,0
3339,Male,Greater than 45,Caucasian,1,0
3340,Male,25 - 45,African-American,7,1
3341,Male,Less than 25,African-American,6,0
3342,Male,25 - 45,African-American,1,1
3343,Male,Less than 25,African-American,3,1
3344,Male,25 - 45,African-American,7,1
3345,Female,25 - 45,Caucasian,3,0
3347,Female,25 - 45,African-American,3,1
3348,Male,25 - 45,Caucasian,4,1
3349,Male,25 - 45,African-American,3,1
3350,Male,25 - 45,African-American,1,0
3351,Female,25 - 45,African-American,4,1
3354,Male,25 - 45,African-American,2,1
3356,Male,Greater than 45,Caucasian,1,0
3357,Male,25 - 45,African-American,4,0
3358,Male,25 - 45,African-American,1,0
3359,Male,25 - 45,African-American,9,1
3360,Male,Greater than 45,African-American,7,1
3361,Male,25 - 45,African-American,6,0
3362,Male,Less than 25,African-American,9,1
3363,Male,25 - 45,Hispanic,1,1
3369,Male,Less than 25,African-American,9,1
3370,Female,25 - 45,Hispanic,2,1
3371,Male,Less than 25,African-American,3,0
3375,Male,Greater than 45,Hispanic,7,1
3376,Female,25 - 45,Other,1,0
3377,Female,25 - 45,Caucasian,1,0
3379,Male,Less than 25,Other,4,0
3380,Female,Greater than 45,African-American,4,0
3381,Male,25 - 45,African-American,2,1
3383,Male,Greater than 45,African-American,5,1
3384,Male,Less than 25,Caucasian,8,0
3385,Male,Greater than 45,African-American,9,0
3386,Male,25 - 45,Caucasian,5,1
3387,Male,Greater than 45,African-American,1,1
3390,Male,Greater than 45,Caucasian,1,0
3391,Female,25 - 45,African-American,8,1
3392,Male,Greater than 45,Caucasian,1,0
3393,Male,25 - 45,African-American,6,1
3394,Male,Less than 25,Caucasian,8,1
3395,Male,25 - 45,Other,1,1
3396,Male,Greater than 45,African-American,5,0
3397,Male,Greater than 45,African-American,7,0
3398,Male,Less than 25,African-American,10,1
3399,Male,25 - 45,African-American,10,0
3401,Male,Greater than 45,African-American,1,1
3403,Male,25 - 45,African-American,4,1
3404,Male,Greater than 45,African-American,1,0
3405,Female,25 - 45,African-American,2,0
3406,Male,Less than 25,Caucasian,8,1
3407,Male,Greater than 45,Caucasian,1,0
3408,Female,Less than 25,Caucasian,3,1
3409,Male,Less than 25,African-American,6,0
3410,Male,Greater than 45,African-American,3,0
3411,Female,25 - 45,Caucasian,2,0
3412,Male,25 - 45,Caucasian,2,0
3413,Male,25 - 45,Caucasian,4,1
3415,Male,25 - 45,African-American,5,1
3417,Male,25 - 45,Caucasian,3,0
3418,Male,25 - 45,African-American,2,1
3419,Male,25 - 45,African-American,5,1
3420,Male,25 - 45,African-American,2,0
3422,Male,25 - 45,Caucasian,5,1
3423,Female,25 - 45,Caucasian,2,0
3425,Male,Less than 25,Hispanic,10,1
3426,Male,25 - 45,African-American,10,1
3427,Female,25 - 45,Caucasian,1,0
3429,Male,Less than 25,African-American,6,1
3431,Female,25 - 45,African-American,2,0
3434,Male,25 - 45,African-American,10,1
3437,Female,Less than 25,Caucasian,6,0
3438,Male,25 - 45,Caucasian,6,1
3439,Male,25 - 45,Caucasian,1,0
3440,Male,Less than 25,African-American,8,1
3441,Male,Greater than 45,Caucasian,7,1
3442,Male,25 - 45,African-American,8,1
3444,Male,25 - 45,Caucasian,2,1
3445,Male,25 - 45,Caucasian,3,0
3446,Male,25 - 45,African-American,6,1
3448,Female,25 - 45,African-American,7,1
3449,Male,25 - 45,African-American,8,1
3451,Male,Greater than 45,Caucasian,2,0
3452,Male,25 - 45,African-American,1,0
3453,Male,Greater than 45,African-American,3,1
3454,Male,25 - 45,African-American,3,1
3455,Female,25 - 45,African-American,3,0
3456,Male,Less than 25,African-American,8,0
3457,Male,Greater than 45,African-American,1,0
3458,Male,25 - 45,Caucasian,2,0
3460,Male,Less than 25,African-American,6,1
3462,Male,25 - 45,Caucasian,1,1
3463,Male,25 - 45,Caucasian,3,0
3464,Male,Less than 25,Caucasian,5,1
3465,Male,Greater than 45,Other,1,0
3468,Male,25 - 45,African-American,10,1
3470,Male,Less than 25,African-American,2,1
3474,Male,25 - 45,Caucasian,3,1
3475,Male,25 - 45,Caucasian,5,0
3476,Male,25 - 45,African-American,8,1
3479,Female,Less than 25,African-American,10,1
3480,Male,Greater than 45,African-American,2,0
3481,Female,25 - 45,African-American,4,1
3483,Male,25 - 45,Caucasian,1,0
3484,Male,Greater than 45,African-American,7,1
3485,Male,25 - 45,African-American,2,1
3487,Male,Greater than 45,Caucasian,6,0
3488,Male,25 - 45,Caucasian,1,0
3489,Female,Less than 25,African-American,9,0
3491,Male,25 - 45,Hispanic,2,0
3492,Male,Less than 25,African-American,7,0
3493,Male,25 - 45,African-American,2,0
3498,Male,25 - 45,African-American,4,1
3499,Female,25 - 45,African-American,10,1
3500,Male,25 - 45,Caucasian,6,0
3501,Male,Less than 25,African-American,10,1
3502,Male,25 - 45,Hispanic,1,1
3504,Male,25 - 45,African-American,4,0
3506,Male,25 - 45,African-American,8,0
3507,Male,Greater than 45,Hispanic,1,0
3508,Female,Less than 25,African-American,5,0
3510,Male,25 - 45,Caucasian,9,1
3511,Male,Less than 25,Caucasian,3,0
3512,Male,25 - 45,African-American,7,1
3515,Male,25 - 45,Caucasian,1,0
3516,Male,25 - 45,Other,3,1
3517,Male,Greater than 45,Hispanic,1,1
3519,Male,Greater than 45,African-American,3,1
3521,Male,Less than 25,African-American,10,1
3523,Male,Greater than 45,Caucasian,1,0
3525,Male,Greater than 45,Caucasian,2,0
3528,Female,Less than 25,African-American,3,0
3529,Male,25 - 45,Hispanic,1,0
3531,Female,25 - 45,Caucasian,3,0
3533,Male,25 - 45,Caucasian,10,1
3534,Male,Greater than 45,Caucasian,1,0
3535,Male,25 - 45,Caucasian,2,0
3536,Male,25 - 45,Caucasian,2,1
3538,Male,Less than 25,African-American,2,0
3539,Male,25 - 45,African-American,5,0
3540,Male,Less than 25,Caucasian,2,0
3541,Male,Greater than 45,African-American,1,0
3542,Male,Less than 25,Caucasian,6,1
3543,Female,25 - 45,Caucasian,1,1
3544,Male,Less than 25,African-American,2,1
3546,Male,Less than 25,Hispanic,2,0
3547,Male,Greater than 45,African-American,4,0
3550,Male,25 - 45,African-American,7,1
3551,Male,Less than 25,African-American,6,1
3552,Male,25 - 45,Caucasian,3,0
3554,Male,Greater than 45,Caucasian,1,0
3556,Male,25 - 45,Hispanic,1,0
3557,Male,Less than 25,Hispanic,8,1
3560,Male,25 - 45,Caucasian,3,0
3562,Male,Greater than 45,African-American,1,0
3563,Male,Greater than 45,African-American,7,1
3564,Male,25 - 45,African-American,7,1
3566,Male,Less than 25,Caucasian,9,0
3568,Male,25 - 45,Caucasian,7,0
3570,Male,25 - 45,Caucasian,1,1
3571,Male,25 - 45,Caucasian,8,1
3573,Male,25 - 45,African-American,1,0
3574,Male,Less than 25,African-American,3,1
3576,Male,Greater than 45,Caucasian,2,0
3577,Male,25 - 45,African-American,3,0
3578,Male,25 - 45,Hispanic,1,1
3582,Female,25 - 45,Hispanic,3,1
3584,Male,25 - 45,Caucasian,5,0
3585,Male,Greater than 45,Caucasian,1,1
3591,Male,25 - 45,Hispanic,3,0
3593,Male,Greater than 45,Caucasian,4,0
3594,Male,Greater than 45,African-American,4,1
3596,Male,Greater than 45,Caucasian,1,0
3597,Male,Less than 25,Caucasian,5,1
3598,Male,25 - 45,African-American,1,0
3600,Male,25 - 45,Hispanic,2,0
3601,Female,25 - 45,African-American,7,1
3602,Male,25 - 45,African-American,8,1
3603,Male,25 - 45,African-American,6,1
3604,Male,Greater than 45,Other,5,0
3605,Male,25 - 45,African-American,1,0
3607,Male,Greater than 45,Caucasian,3,1
3611,Male,Greater than 45,Caucasian,6,0
3614,Male,25 - 45,African-American,9,1
3616,Male,Greater than 45,African-American,7,1
3617,Male,25 - 45,African-American,1,0
3618,Male,25 - 45,Caucasian,8,1
3619,Male,25 - 45,African-American,2,0
3620,Female,Greater than 45,Caucasian,1,0
3622,Male,25 - 45,African-American,10,0
3624,Male,Less than 25,African-American,7,1
3626,Male,Greater than 45,Caucasian,7,0
3627,Male,25 - 45,Caucasian,7,0
3628,Male,Less than 25,African-American,6,1
3629,Male,Less than 25,African-American,7,1
3630,Male,Greater than 45,Caucasian,1,0
3631,Female,25 - 45,Caucasian,1,0
3634,Male,25 - 45,Caucasian,3,0
3635,Female,Less than 25,African-American,4,0
3636,Female,Greater than 45,African-American,6,0
3639,Male,25 - 45,African-American,2,0
3641,Male,25 - 45,Caucasian,6,0
3642,Male,25 - 45,African-American,4,1
3643,Male,Less than 25,African-American,6,1
3645,Male,25 - 45,Caucasian,1,0
3646,Male,25 - 45,Caucasian,7,1
3647,Male,Less than 25,African-American,3,0
3648,Male,Greater than 45,African-American,6,1
3649,Male,25 - 45,African-American,8,1
3652,Male,25 - 45,African-American,4,1
3653,Male,25 - 45,African-American,2,0
3655,Male,Greater than 45,African-American,4,0
3656,Male,Less than 25,African-American,9,0
3657,Female,25 - 45,African-American,4,0
3658,Male,Greater than 45,Other,1,0
3659,Male,Greater than 45,Caucasian,1,0
3660,Male,Greater than 45,Other,3,0
3661,Male,Greater than 45,African-American,6,1
3662,Male,25 - 45,African-American,7,0
3663,Male,25 - 45,African-American,6,0
3666,Female,25 - 45,African-American,2,0
3667,Male,25 - 45,African-American,5,0
3668,Male,25 - 45,African-American,5,0
3669,Female,25 - 45,Caucasian,7,1
3671,Male,25 - 45,Caucasian,1,0
3673,Male,25 - 45,Other,1,0
3674,Female,25 - 45,African-American,2,0
3675,Male,25 - 45,African-American,6,1
3676,Male,Greater than 45,African-American,5,0
3678,Male,25 - 45,Caucasian,2,0
3679,Female,Greater than 45,Caucasian,3,1
3681,Female,Greater than 45,African-American,9,0
3684,Male,25 - 45,African-American,7,1
3685,Male,25 - 45,African-American,9,1
3687,Male,Greater than 45,African-American,1,1
3691,Male,Less than 25,Other,9,1
3692,Male,25 - 45,African-American,2,1
3693,Male,Less than 25,African-American,2,0
3696,Male,Less than 25,African-American,9,0
3697,Male,Greater than 45,Caucasian,1,0
3698,Male,Greater than 45,Caucasian,1,0
3699,Male,25 - 45,Caucasian,2,0
3700,Male,Less than 25,African-American,4,1
3701,Male,Greater than 45,African-American,4,0
3702,Male,Greater than 45,Caucasian,8,1
3703,Male,Greater than 45,Caucasian,1,0
3704,Female,25 - 45,Hispanic,1,0
3705,Male,Greater than 45,Caucasian,1,0
3706,Female,25 - 45,African-American,1,0
3709,Female,25 - 45,African-American,1,0
3710,Male,Less than 25,African-American,7,1
3711,Male,25 - 45,Caucasian,2,1
3712,Male,Greater than 45,African-American,1,0
3713,Male,25 - 45,African-American,6,1
3714,Male,Greater than 45,Caucasian,1,0
3716,Male,Greater than 45,African-American,7,0
3719,Male,Less than 25,African-American,9,0
3720,Male,Greater than 45,Caucasian,9,1
3721,Female,Greater than 45,Caucasian,1,0
3722,Male,Less than 25,African-American,7,1
3724,Male,25 - 45,Hispanic,1,0
3725,Male,Less than 25,African-American,8,1
3726,Female,25 - 45,Hispanic,1,0
3728,Male,Greater than 45,Other,1,0
3729,Male,25 - 45,African-American,1,0
3730,Male,Less than 25,Hispanic,1,1
3732,Male,25 - 45,African-American,1,0
3736,Male,25 - 45,Caucasian,2,0
3737,Female,25 - 45,Caucasian,2,0
3738,Male,25 - 45,Caucasian,9,0
3739,Male,Greater than 45,Caucasian,1,0
3740,Female,Less than 25,African-American,4,0
3741,Male,25 - 45,African-American,5,0
3742,Male,25 - 45,African-American,8,1
3743,Male,Less than 25,African-American,4,0
3744,Male,Greater than 45,African-American,1,0
3745,Male,25 - 45,Caucasian,6,1
3747,Male,25 - 45,Caucasian,6,0
3749,Male,25 - 45,African-American,8,1
3751,Male,25 - 45,African-American,10,1
3754,Male,Less than 25,African-American,6,1
3757,Male,25 - 45,Caucasian,2,1
3758,Male,Greater than 45,African-American,2,0
3759,Female,25 - 45,African-American,8,0
3761,Male,25 - 45,African-American,5,1
3763,Male,25 - 45,African-American,9,1
3765,Male,25 - 45,Caucasian,9,1
3766,Male,Less than 25,Caucasian,2,1
3767,Male,25 - 45,Caucasian,5,1
3768,Female,25 - 45,African-American,1,0
3769,Male,Greater than 45,Caucasian,1,0
3771,Male,25 - 45,African-American,9,1
3772,Male,Less than 25,Caucasian,5,1
3773,Male,Less than 25,Hispanic,7,0
3774,Male,Greater than 45,Caucasian,1,0
3776,Female,25 - 45,Caucasian,1,0
3778,Male,25 - 45,Caucasian,2,1
3779,Male,25 - 45,African-American,5,0
3780,Male,Less than 25,Caucasian,3,0
3781,Male,25 - 45,African-American,5,0
3782,Male,25 - 45,African-American,10,1
3783,Male,25 - 45,Caucasian,1,0
3785,Male,Less than 25,Caucasian,3,0
3787,Male,25 - 45,African-American,7,1
3788,Male,25 - 45,Caucasian,4,0
3789,Male,25 - 45,Caucasian,1,0
3790,Male,25 - 45,Caucasian,3,0
3792,Male,Greater than 45,Caucasian,4,0
3793,Male,25 - 45,Caucasian,4,1
3794,Male,Greater than 45,African-American,7,1
3797,Male,25 - 45,African-American,6,0
3799,Male,25 - 45,African-American,2,0
3800,Male,25 - 45,African-American,7,1
3801,Male,Greater than 45,Caucasian,1,0
3802,Male,Greater than 45,African-American,1,1
3804,Male,25 - 45,African-American,1,0
3805,Male,25 - 45,Caucasian,2,1
3807,Female,25 - 45,Caucasian,5,1
3809,Male,25 - 45,Caucasian,4,1
3811,Male,Greater than 45,African-American,2,1
3812,Male,25 - 45,African-American,5,1
3814,Male,25 - 45,African-American,4,0
3816,Male,Less than 25,Other,10,1
3817,Female,Less than 25,African-American,8,1
3818,Male,Less than 25,African-American,4,0
3820,Male,25 - 45,Other,1,0
3821,Female,Greater than 45,African-American,3,0
3824,Male,25 - 45,African-American,5,1
3826,Male,Greater than 45,African-American,9,1
3828,Male,25 - 45,Caucasian,6,1
3830,Female,25 - 45,African-American,2,0
3831,Male,Less than 25,Caucasian,8,1
3834,Male,Greater than 45,African-American,6,0
3835,Female,Greater than 45,Caucasian,1,0
3836,Male,Greater than 45,Caucasian,3,0
